cliente_id,edad,monto,ciudad,segmento
1,-20.0,69925,Santiago,Premium
2,130.0,72969,Valparaíso,Regular
3,32.0,1233000,Concepción,Regular
4,60.0,88104,La Serena,Premium
5,25.0,58707,Antofagasta,Básico
6,38.0,90305,Rancagua,Regular
7,56.0,33693,Talca,Básico
8,,76932,Chillán,Regular
9,40.0,98016,Temuco,Premium
10,28.0,30658,Valdivia,Regular
11,28.0,89478,Osorno,Básico
12,41.0,23431,Puerto Montt,Premium
13,53.0,7747,Coyhaique,Regular
14,57.0,64150,Punta Arenas,Básico
15,41.0,70725,Arica,Premium
16,20.0,89654,Iquique,Regular
17,39.0,40773,Calama,Básico
18,19.0,72435,Copiapó,Regular
19,41.0,61886,Ovalle,Premium
20,61.0,71803,Los Andes,Básico
1,-20.0,69925,Santiago,Premium
18,19.0,72435,Copiapó,Regular
16,20.0,89654,Iquique,Regular
2,130.0,72969,Valparaíso,Regular
